part_number,name,description
D212000020,VENT HANDLE,VENT HANDLE
ASN3913-001.0370,"AIR HOSE 51-53,6","AIR HOSE 51-53,6 | Notice: NTC UNIV9 0272051"
N3211-002,HEXAGON NUT M5 Zn,HEXAGON NUT M5 Zn | Notice: DIN439B M5 04 A2K
N3211-003,HEXAGON NUT M6 Zn,HEXAGON NUT M6 Zn | Notice: DIN439B M6 04 A2K
N3222-001,HEXAGON NUT M3 Zn,HEXAGON NUT M3 Zn | Notice: DIN985 M3 8 A2K
N3264-003,"SERRATED WASHER 6,4 Zn","SERRATED WASHER 6,4 Zn | Notice: DIN6798J 6,4 FSt A2K"
N3252-002,"SHIM RING 6x12x0,5 Zn","SHIM RING 6x12x0,5 Zn | Notice: DIN988 6x12x0,5 A4C"
N4310-006,HOSE CLAMP 40-60x9,HOSE CLAMP 40-60x9 | Notice: DIN3017-1A 40-60x9 W2 B
N3190-001,BOWDEN CABLE SCREW M6,BOWDEN CABLE SCREW M6
N3752-001,BOWDEN ENDING,BOWDEN ENDING | Notice: KCK 42425
N3540-001,CABLE END FITTING M3,CABLE END FITTING M3 | Notice: KAVAN 1408
N3191-001,RC MODEL SCREW M3,RC MODEL SCREW M3 | Notice: KAVAN 0130A
N4510-102,MECHANICALLY CONTROLLER,MECHANICALLY CONTROLLER | Notice: GAMMA 106-1001-AR-7
D212000010,VENT FLAP KNOB,VENT FLAP KNOB
N3145-003,SET SCREW M4x8,SET SCREW M4x8 | Notice: DIN913 M4x8 45H 002
N6141-001,BALL VENT,BALL VENT | Notice: AVEO AVE-BVSLV-150
D21400100A,SHROUD ARKTIK,SHROUD ARKTIK
D214000010,DEFLECTOR-LAMINATE,DEFLECTOR-LAMINATE
D214000020,AIR DEFLECTOR,AIR DEFLECTOR
D214000030,"DISTANCE TUBE 6x1-6,5","DISTANCE TUBE 6x1-6,5"
D214000040,BOWDEN ANCHOR,BOWDEN ANCHOR
N3611-003,HANDLE M5 SHORTENED,HANDLE M5 SHORTENED | Notice: GAMMA 165-172-306
D21400400A,FLAP TROPIC,FLAP TROPIC
ASN3913-001.0075,"AIR HOSE 51-53,6","AIR HOSE 51-53,6 | Notice: NTC UNIV9 0272051"
ASN3913-001.0160,"AIR HOSE 51-53,6","AIR HOSE 51-53,6 | Notice: NTC UNIV9 0272051"
ASN4311-001.0500,PERFORATED STEEL BAND 10,PERFORATED STEEL BAND 10 | Notice: OETIKER PG 17400081
N3112-003,BOLT M5x18 Cd,BOLT M5x18 Cd | Notice: LN 9037-05 018
N3112-007,BOLT M6x20 Cd,BOLT M6x20 Cd | Notice: LN 9037-06 020
N3225-001,SELF-LOCKING NUT M4 Zn,SELF-LOCKING NUT M4 Zn | Notice: FABORY 13100040001
N3211-002,HEXAGON NUT M5 Zn,HEXAGON NUT M5 Zn | Notice: DIN439B M5 04 A2K
N3222-001,HEXAGON NUT M3 Zn,HEXAGON NUT M3 Zn | Notice: DIN985 M3 8 A2K
N3227-002,NUT M5 Cd,NUT M5 Cd | Notice: LN 9348-05
N3227-003,NUT M6 Cd,NUT M6 Cd | Notice: LN 9348-06
N3250-005,"WASHER 5,3 Zn","WASHER 5,3 Zn | Notice: DIN125A 5,3 140HV A2A"
N3250-007,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN125A 6,4 200HV A2A"
N3254-008,"WASHER 6,4 Zn","WASHER 6,4 Zn | Notice: DIN9021 6,4 100HV A2K"
N4310-006,HOSE CLAMP 40-60x9,HOSE CLAMP 40-60x9 | Notice: DIN3017-1A 40-60x9 W2 B
N3752-001,BOWDEN ENDING,BOWDEN ENDING | Notice: KCK 42425
N4311-002,HOSE CLAMP - LOCK,HOSE CLAMP - LOCK | Notice: OETIKER PG 17400002
N3540-001,CABLE END FITTING M3,CABLE END FITTING M3 | Notice: KAVAN 1408
N3191-001,RC MODEL SCREW M3,RC MODEL SCREW M3 | Notice: KAVAN 0130A
N4510-102,MECHANICALLY CONTROLLER,MECHANICALLY CONTROLLER | Notice: GAMMA 106-1001-AR-7
N3135-011,SCREW M4x20 Zn,SCREW M4x20 Zn | Notice: DIN965H M4x20 4.8 A2K
N3227-001,NUT M4 Cd,NUT M4 Cd | Notice: LN 9348-04
N3254-002,"WASHER 4,3 Zn","WASHER 4,3 Zn | Notice: DIN9021 4,3 100HV A2K"
N7350-001,ANTENNA,ANTENNA | Notice: RAMI AV-17
N4316-201,SLEEVE PA66 3,SLEEVE PA66 3 | Notice: FIX&FASTEN CC-3
N4331-351,"ALUMINUM TAPE 50,8","ALUMINUM TAPE 50,8 | Notice: 3M 3311 45 m - 600 mm"
D235001010,HOLDER 4,HOLDER 4
N2933-011,PUSH-BUTTON SWITCH 1 P,PUSH-BUTTON SWITCH 1 P | Notice: MIYAMA DS412SCHWARZ
N3130-001,BOLT M4x12,BOLT M4x12 | Notice: NFE25-129 M4x12 A2
N3230-002,RIVNUT M4 Zn,RIVNUT M4 Zn | Notice: ARCUS 39057-4030
N2926-004,HEADPHONE CONNECTOR,HEADPHONE CONNECTOR | Notice: SWITCHCRAFT 12B
N2926-003,HEADPHONE CONNECTOR,HEADPHONE CONNECTOR | Notice: SWITCHCRAFT S-12B
N2955-004,INSULATING FRONT WASHER,INSULATING FRONT WASHER | Notice: PS ENGINEE.475-003-0001
N2955-003,INSULATING BACK WASHER,INSULATING BACK WASHER | Notice: PS ENGINEE.475-003-0002
D24300200A,ACCUMULATOR HOLDER,ACCUMULATOR HOLDER
D243001010,ACCUMULATOR COVER,ACCUMULATOR COVER
D243001020,HEAT PROTECTION,HEAT PROTECTION
N3112-007,BOLT M6x20 Cd,BOLT M6x20 Cd | Notice: LN 9037-06 020
